iter	RMSE
0	0.2895130243
1	0.2706574395
2	0.2545188805
3	0.2407938309
4	0.2292048114
5	0.2181813354
6	0.2086766693
7	0.2001427234
8	0.1936636951
9	0.1879171043
10	0.1827114841
11	0.1786553611
12	0.1746406768
13	0.1711969566
14	0.1677275168
15	0.1650084635
16	0.1630540371
17	0.1613140582
18	0.1596514808
19	0.1579744886
20	0.1568756595
21	0.1559343006
22	0.1549461841
23	0.1543390985
24	0.1535233227
25	0.1532930666
26	0.1527262301
27	0.152467999
28	0.1520185401
29	0.1513633812
30	0.1508072645
31	0.1505053843
32	0.1503149222
33	0.1498996509
34	0.149489657
35	0.1491154868
36	0.148980223
37	0.148672395
38	0.1483088007
39	0.1480434778
40	0.1479410089
41	0.1478299332
42	0.1473437258
43	0.1471547522
44	0.1471534691
45	0.1469520029
46	0.1467998338
47	0.1465060599
48	0.1464951172
49	0.1462479416
50	0.1461142184
51	0.1460419705
52	0.1459471218
53	0.1458400727
54	0.1455711806
55	0.1455655303
56	0.1454677984
57	0.1453570809
58	0.1452476954
59	0.1451001381
60	0.1450287977
61	0.1450141942
62	0.1448788243
63	0.1448292585
64	0.1448107002
65	0.1447283531
66	0.1446183585
67	0.1446057143
68	0.144482687
69	0.1444822214
70	0.1444279882
71	0.1442864878
72	0.1441947535
73	0.1441947439
74	0.144121708
75	0.1439881169
76	0.1439573628
77	0.143874844
78	0.1437835072
79	0.1437327332
80	0.1436610361
81	0.1435136163
82	0.1434751769
83	0.1434342569
84	0.1433268917
85	0.143326888
86	0.1432066997
87	0.1431217735
88	0.1430346793
89	0.1429720445
90	0.1428660864
91	0.1428238758
92	0.1427508167
93	0.14275076
94	0.1427507561
95	0.1426688092
96	0.1426536769
97	0.1426198639
98	0.1426004154
99	0.1426004115
100	0.1424776364
101	0.1423944016
102	0.1423339487
103	0.1423339432
104	0.1422637764
105	0.1421990272
106	0.1421497532
107	0.1420973844
108	0.1420739247
109	0.1420035409
110	0.1419330203
111	0.1418773041
112	0.1418651392
113	0.141669443
114	0.1415817529
115	0.1415155336
116	0.1414908035
117	0.141457943
118	0.141424876
119	0.1413535929
120	0.1413098893
121	0.1412457514
122	0.1410802787
123	0.1410075384
124	0.1409406445
125	0.1409060083
126	0.1408698401
127	0.1408302624
128	0.1408293467
129	0.1408268693
130	0.140658939
131	0.1406193991
132	0.1405534754
133	0.1405223478
134	0.1404954547
135	0.1404494409
136	0.1404214263
137	0.1403952342
138	0.1402758405
139	0.1402321613
140	0.1401427863
141	0.1400998586
142	0.1400765379
143	0.1400465269
144	0.1400111878
145	0.1399874375
146	0.139928652
147	0.1398976965
148	0.1398798325
149	0.1398678462
150	0.1398573179
151	0.1398036022
152	0.1397535755
153	0.1397049638
154	0.1396089697
155	0.1395347457
156	0.1393859052
157	0.1393045162
158	0.1392524593
159	0.1392265551
160	0.1392073935
161	0.139185876
162	0.1391699554
163	0.1391277384
164	0.1391071288
165	0.1391064467
166	0.1391048319
167	0.1390414756
168	0.1390194149
169	0.1390093047
170	0.1389820612
171	0.1389665041
172	0.1389076853
173	0.1388709121
174	0.1388383406
175	0.1388021251
176	0.1387915145
177	0.1387627294
178	0.1387499328
179	0.1387339783
180	0.1387132897
181	0.138695509
182	0.1386627108
183	0.1386323203
184	0.1386098796
185	0.1385680682
186	0.1385410145
187	0.138429163
188	0.1383806811
189	0.1383412389
190	0.1382696232
191	0.138269622
192	0.1382015809
193	0.1381814036
194	0.138084612
195	0.1380243808
196	0.1379928334
197	0.1378560133
198	0.1378208435
199	0.1377643394
200	0.1377457398
201	0.1377265672
202	0.1376804648
203	0.1376093363
204	0.1375098805
205	0.1374385845
206	0.1374173658
207	0.137374779
208	0.1373670653
209	0.1373557643
210	0.1373072896
211	0.1372471863
212	0.1372444641
213	0.1372131399
214	0.1372044212
215	0.1371500662
216	0.1371205998
217	0.1371201546
218	0.1370972509
219	0.136983941
220	0.1369343563
221	0.1369242012
222	0.1368680952
223	0.1368534421
224	0.1367951988
225	0.136740681
226	0.1366860042
227	0.1366826421
228	0.1366617091
229	0.1366371618
230	0.1366019113
231	0.1365235065
232	0.1365186639
233	0.1365080328
234	0.1364953021
235	0.1364625302
236	0.1363508253
237	0.1363229587
238	0.1362944125
239	0.1362856849
240	0.1362475184
241	0.1362285379
242	0.1362002091
243	0.1361672653
244	0.1361404536
245	0.1360451074
246	0.1360229747
247	0.1360227898
248	0.1360133889
249	0.1359611635
250	0.1359197749
251	0.1358899545
252	0.1358624118
253	0.1358288417
254	0.1358286676
255	0.1357974401
256	0.135781431
257	0.1357701555
258	0.135746589
259	0.1357464366
260	0.1357154881
261	0.1356933762
262	0.1356892438
263	0.1356168986
264	0.1355643368
265	0.135538154
266	0.1355118373
267	0.1354962369
268	0.1354750598
269	0.1354637021
270	0.1354110614
271	0.1353502157
272	0.1353361296
273	0.1353281179
274	0.1353259616
275	0.1353003021
276	0.1352983
277	0.1352839488
278	0.1352651091
279	0.1352351336
280	0.1351852581
281	0.1351692937
282	0.1351290719
283	0.1350798555
284	0.1350281331
285	0.134946641
286	0.1349296604
287	0.1348670475
288	0.1347747636
289	0.1347705226
290	0.1347126847
291	0.1346776429
292	0.1346546911
293	0.1346401802
294	0.1346284983
295	0.1345656665
296	0.1345434512
297	0.134516201
298	0.1344072108
299	0.134377526
